created_at;id;author_id;text;referenced_tweets;retweet_count;reply_count;like_count;quote_count;hashtags;mentions;urls;cashtags;url;verified;description;username;name;author_created_at;followers_count;following_count;tweet_count;listed_count;Influerende;Berettende;Hverken_eller;Duplikat;Har_link
Sep 29, 2019;1,17822E+18;9,02839E+17;Check out the detailed guide on how to transfer #OMNI- or #ERC20-USDT, to #TRC20- #USDT made by @KuCoinUpdates. Expect more organizations to join #TRON ecosystem. #TRX $TRX https://t.co/TxxG4g14km;[{'type': 'quoted', 'id': '1178206404089434112'}];52;11;258;2;['OMNI', 'ERC20', 'TRC20', 'USDT', 'TRON', 'TRX'];['KuCoinUpdates'];[None];[None];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
Aug 22, 2019;1,1645E+18;9,02839E+17;"#TRON Weekly Review?
1. #SUNnetwork documentation released
2. #USDT incentive plan finished 
3. #TRON blocks exceeding 12 million https://t.co/aVwJikjbgF";[{'type': 'quoted', 'id': '1164489341822832640'}];46;14;202;2;['TRON', 'SUNnetwork', 'USDT', 'TRON'];[];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
Aug 15, 2019;1,16191E+18;9,02839E+17;"The total amount of #TRC20-based #USDT rewarded was 8,110.274398 and a total of 1846 accounts received the reward. According to the #USDT price on Bitfinex on August 14(PDT), the total value of the reward was equivalent to $8,098.993006. #TRON #TRX $TRX
https://t.co/qU9nO4V14f";;21;17;145;0;['TRC20', 'USDT', 'USDT', 'TRON', 'TRX'];[];[None];[None];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
Aug 10, 2019;1,1601E+18;9,02839E+17;"The total amount of #TRC20-based #USDT rewarded was 8,106.935734 and a total of 1724 accounts received the reward. According to the #USDT price on Bitfinex on August 9(PDT), the total value of the reward was equivalent to $8,106.935734. #TRON #TRX $TRX
https://t.co/0ta43hOw1Z";;73;55;246;1;['TRC20', 'USDT', 'USDT', 'TRON', 'TRX'];[];[None];[None];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
Aug 07, 2019;1,159E+18;9,02839E+17;"The total amount of #TRC20-based #USDT rewarded was 7,694.054244 and a total of 1738 accounts received the reward. According to the #USDT price on Bitfinex on August 6(PDT), the total value of the reward was equivalent to $7,670.433497. #TRON #TRX
https://t.co/flTo3CTg1r";;26;26;154;4;['TRC20', 'USDT', 'USDT', 'TRON', 'TRX'];[];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
Aug 04, 2019;1,15791E+18;9,02839E+17;"The total amount of the 20th #TRC20-based #USDT rewarded was 7,682.797441 and a total of 1656 accounts received the reward. According to the #USDT price on Bitfinex on August 3(PDT), the total value of the reward was equivalent to $ 7,682.797441.
https://t.co/7dKRvp2r1Y";;32;26;130;3;['TRC20', 'USDT', 'USDT'];[];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
Jul 28, 2019;1,15539E+18;9,02839E+17;"The total amount of the 13th #TRC20-based #USDT rewarded was 6,954.257941 and a total of 1523 accounts received the reward. According to the #USDT price on Bitfinex on July 27(PDT), the total value of the reward was equivalent to $6,935.314542.
https://t.co/0CzDpaiK97";;113;41;220;4;['TRC20', 'USDT', 'USDT'];[];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
Jul 17, 2019;1,15141E+18;9,02839E+17;We have completed the second day of the #TRC20-based #USDT 30M incentive plan to early #TRC20-based #USDT users. All addresses in the #TRON MainNet with #TRC20-based #USDT are eligible to receive proportional reward, no additional procedures needed. #TRX https://t.co/EiWchIjTHb;;69;32;199;3;['TRC20', 'USDT', 'TRC20', 'USDT', 'TRON', 'TRC20', 'USDT', 'TRX'];[];[None];[];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
Jul 15, 2019;1,15077E+18;9,02839E+17;Enjoy 100% APR for 1 day. The snapshot will be taken at 9:00am, July 15(PDT) sharp. Hold #TRC20 based #USDT in your address to receive the rewards. #TRON #TRX $TRX https://t.co/e1rkEv0OJD;;45;40;168;4;['TRC20', 'USDT', 'TRON', 'TRX'];[];[None];[None];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
Jul 15, 2019;1,15073E+18;9,02839E+17;"TRON Weekly Report
1. Developed data collection project: static data and dynamic data.
2. #TRON will roll out #TRC20 based #USDT Incentive Plan from July 16 to August 15(PDT).
3. #BitTorrentSpeed was launched on July 8,2019(PDT). $TRX #TRX
https://t.co/Wilh6DwoyQ";;46;36;176;0;['TRON', 'TRC20', 'USDT', 'BitTorrentSpeed', 'TRX'];[];[None];[None];;TRUE;#Bitcoin ?Chinese @sunyuchentron?@Tronfoundation?@BitTorrent?1st Millennial Grad Hupan Uni by Jack Ma @alibabagroup #TRON #TRX #BitTorrent #BTT;justinsuntron;Justin Sun ????;2017-08-30T10:22:57.000Z;3107848;1856;13000;6579;0;1;0;0;1
